year,countyfips,statefips,hel8,wcount,pfuel,lnp,pgt,bt,till,gt
2010,17001,17,1,-6,2.806,*,*,*,*,*
2010,17187,17,0,-6,2.806,*,*,*,*,*
2010,17187,17,0,-6,2.806,*,*,*,*,*
2010,17095,17,0,-6,2.806,*,*,*,*,*
2010,17071,17,0,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17001,17,1,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17095,17,0,-6,2.806,*,*,*,*,*
2010,17001,17,1,-6,2.806,*,*,*,*,*
2010,17095,17,0,-6,2.806,*,*,*,*,*
2010,17169,17,0,-6,2.806,*,*,*,*,*
2010,17187,17,0,-6,2.806,*,*,*,*,*
2010,17095,17,0,-6,2.806,*,*,*,*,*
2010,17109,17,0,-6,2.806,*,*,*,*,*
2010,17109,17,0,-6,2.806,*,*,*,*,*
2010,17001,17,1,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17187,17,0,-6,2.806,*,*,*,*,*
2010,17001,17,1,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17057,17,0,-6,2.806,*,*,*,*,*
2010,17057,17,0,-6,2.806,*,*,*,*,*
2010,17095,17,0,-6,2.806,*,*,*,*,*
2010,17001,17,1,-6,2.806,*,*,*,*,*
2010,17057,17,0,-6,2.806,*,*,*,*,*
2010,17057,17,0,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17169,17,0,-6,2.806,*,*,*,*,*
2010,17057,17,0,-6,2.806,*,*,*,*,*
2010,17187,17,0,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17187,17,0,-6,2.806,*,*,*,*,*
2010,17109,17,0,-6,2.806,*,*,*,*,*
2010,17095,17,0,-6,2.806,*,*,*,*,*
2010,17001,17,1,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17175,17,0,-6,2.806,*,*,*,*,*
2010,17179,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17123,17,0,-6,2.806,*,*,*,*,*
2010,17123,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17039,17,0,-6,2.806,*,*,*,*,*
2010,17179,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17107,17,0,-6,2.806,*,*,*,*,*
2010,17107,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17107,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17143,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17115,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17179,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17125,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17143,17,0,-6,2.806,*,*,*,*,*
2010,17179,17,0,-6,2.806,*,*,*,*,*
2010,17107,17,0,-6,2.806,*,*,*,*,*
2010,17123,17,0,-6,2.806,*,*,*,*,*
2010,17179,17,0,-6,2.806,*,*,*,*,*
2010,17143,17,0,-6,2.806,*,*,*,*,*
2010,17143,17,0,-6,2.806,*,*,*,*,*
2010,17115,17,0,-6,2.806,*,*,*,*,*
2010,17175,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17125,17,0,-6,2.806,*,*,*,*,*
2010,17115,17,0,-6,2.806,*,*,*,*,*
2010,17115,17,0,-6,2.806,*,*,*,*,*
2010,17143,17,0,-6,2.806,*,*,*,*,*
2010,17203,17,0,-6,2.806,*,*,*,*,*
2010,17123,17,0,-6,2.806,*,*,*,*,*
2010,17123,17,0,-6,2.806,*,*,*,*,*
2010,17113,17,0,-6,2.806,*,*,*,*,*
2010,17179,17,0,-6,2.806,*,*,*,*,*
2010,17143,17,0,-6,2.806,*,*,*,*,*
2010,17075,17,0,-6,2.806,*,*,*,*,*
2010,17075,17,0,-6,2.806,*,*,*,*,*
2010,17019,17,0,-6,2.806,*,*,*,*,*
2010,17053,17,0,-6,2.806,*,*,*,*,*
2010,17075,17,0,-6,2.806,*,*,*,*,*
2010,17183,17,0,-6,2.806,*,*,*,*,*
2010,17019,17,0,-6,2.806,*,*,*,*,*
2010,17075,17,0,-6,2.806,*,*,*,*,*
2010,17053,17,0,-6,2.806,*,*,*,*,*
2010,17053,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17019,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17053,17,0,-6,2.806,*,*,*,*,*
2010,17019,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17091,17,0,-6,2.806,*,*,*,*,*
2010,17183,17,0,-6,2.806,*,*,*,*,*
2010,17091,17,0,-6,2.806,*,*,*,*,*
2010,17183,17,0,-6,2.806,*,*,*,*,*
2010,17019,17,0,-6,2.806,*,*,*,*,*
2010,17091,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17147,17,0,-6,2.806,*,*,*,*,*
2010,17183,17,0,-6,2.806,*,*,*,*,*
2010,17091,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17075,17,0,-6,2.806,*,*,*,*,*
2010,17147,17,0,-6,2.806,*,*,*,*,*
2010,17091,17,0,-6,2.806,*,*,*,*,*
2010,17091,17,0,-6,2.806,*,*,*,*,*
2010,17019,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17183,17,0,-6,2.806,*,*,*,*,*
2010,17053,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17075,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17019,17,0,-6,2.806,*,*,*,*,*
2010,17019,17,0,-6,2.806,*,*,*,*,*
2010,17183,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17019,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17147,17,0,-6,2.806,*,*,*,*,*
2010,17105,17,0,-6,2.806,*,*,*,*,*
2010,17075,17,0,-6,2.806,*,*,*,*,*
2010,17091,17,0,-6,2.806,*,*,*,*,*
2010,17149,17,1,-6,2.806,*,*,*,*,*
2010,17149,17,1,-6,2.806,*,*,*,*,*
2010,17119,17,1,-6,2.806,*,*,*,*,*
2010,17137,17,0,-6,2.806,*,*,*,*,*
2010,17117,17,0,-6,2.806,*,*,*,*,*
2010,17119,17,1,-6,2.806,*,*,*,*,*
2010,17021,17,0,-6,2.806,*,*,*,*,*
2010,17017,17,0,-6,2.806,*,*,*,*,*
2010,17149,17,1,-6,2.806,*,*,*,*,*
2010,17119,17,1,-6,2.806,*,*,*,*,*
2010,17117,17,0,-6,2.806,*,*,*,*,*
2010,17167,17,0,-6,2.806,*,*,*,*,*
2010,17005,17,0,-6,2.806,*,*,*,*,*
2010,17171,17,0,-6,2.806,*,*,*,*,*
2010,17017,17,0,-6,2.806,*,*,*,*,*
2010,17117,17,0,-6,2.806,*,*,*,*,*
2010,17083,17,1,-6,2.806,*,*,*,*,*
2010,17137,17,0,-6,2.806,*,*,*,*,*
2010,17135,17,0,-6,2.806,*,*,*,*,*
2010,17149,17,1,-6,2.806,*,*,*,*,*
2010,17137,17,0,-6,2.806,*,*,*,*,*
2010,17021,17,0,-6,2.806,*,*,*,*,*
2010,17171,17,0,-6,2.806,*,*,*,*,*
2010,17119,17,1,-6,2.806,*,*,*,*,*
2010,17167,17,0,-6,2.806,*,*,*,*,*
2010,17119,17,1,-6,2.806,*,*,*,*,*
2010,17017,17,0,-6,2.806,*,*,*,*,*
2010,17149,17,1,-6,2.806,*,*,*,*,*
2010,17137,17,0,-6,2.806,*,*,*,*,*
2010,17137,17,0,-6,2.806,*,*,*,*,*
2010,17149,17,1,-6,2.806,*,*,*,*,*
2010,17083,17,1,-6,2.806,*,*,*,*,*
2010,17149,17,1,-6,2.806,*,*,*,*,*
2010,17149,17,1,-6,2.806,*,*,*,*,*
2010,17137,17,0,-6,2.806,*,*,*,*,*
2010,17117,17,0,-6,2.806,*,*,*,*,*
2010,17061,17,0,-6,2.806,*,*,*,*,*
2010,17119,17,1,-6,2.806,*,*,*,*,*
2010,17061,17,0,-6,2.806,*,*,*,*,*
2010,17167,17,0,-6,2.806,*,*,*,*,*
2010,17021,17,0,-6,2.806,*,*,*,*,*
2010,17005,17,0,-6,2.806,*,*,*,*,*
2010,17021,17,0,-6,2.806,*,*,*,*,*
2010,17167,17,0,-6,2.806,*,*,*,*,*
2010,17167,17,0,-6,2.806,*,*,*,*,*
2010,17119,17,1,-6,2.806,*,*,*,*,*
2010,17135,17,0,-6,2.806,*,*,*,*,*
2010,17117,17,0,-6,2.806,*,*,*,*,*
2010,17173,17,0,-6,2.806,*,*,*,*,*
2010,17045,17,0,-6,2.806,*,*,*,*,*
2010,17121,17,0,-6,2.806,*,*,*,*,*
2010,17023,17,0,-6,2.806,*,*,*,*,*
2010,17025,17,0,-6,2.806,*,*,*,*,*
2010,17139,17,0,-6,2.806,*,*,*,*,*
2010,17049,17,0,-6,2.806,*,*,*,*,*
2010,17121,17,0,-6,2.806,*,*,*,*,*
2010,17045,17,0,-6,2.806,*,*,*,*,*
2010,17051,17,0,-6,2.806,*,*,*,*,*
2010,17051,17,0,-6,2.806,*,*,*,*,*
2010,17049,17,0,-6,2.806,*,*,*,*,*
2010,17023,17,0,-6,2.806,*,*,*,*,*
2010,17049,17,0,-6,2.806,*,*,*,*,*
2010,17049,17,0,-6,2.806,*,*,*,*,*
2010,17173,17,0,-6,2.806,*,*,*,*,*
2010,17029,17,0,-6,2.806,*,*,*,*,*
2010,17173,17,0,-6,2.806,*,*,*,*,*
2010,17035,17,0,-6,2.806,*,*,*,*,*
2010,17079,17,0,-6,2.806,*,*,*,*,*
2010,17173,17,0,-6,2.806,*,*,*,*,*
2010,17139,17,0,-6,2.806,*,*,*,*,*
2010,17049,17,0,-6,2.806,*,*,*,*,*
2010,17051,17,0,-6,2.806,*,*,*,*,*
2010,17049,17,0,-6,2.806,*,*,*,*,*
2010,17121,17,0,-6,2.806,*,*,*,*,*
2010,17049,17,0,-6,2.806,*,*,*,*,*
2010,17101,17,0,-6,2.806,*,*,*,*,*
2010,17079,17,0,-6,2.806,*,*,*,*,*
2010,17121,17,0,-6,2.806,*,*,*,*,*
2010,17173,17,0,-6,2.806,*,*,*,*,*
2010,17049,17,0,-6,2.806,*,*,*,*,*
2010,17023,17,0,-6,2.806,*,*,*,*,*
2010,17079,17,0,-6,2.806,*,*,*,*,*
2010,17035,17,0,-6,2.806,*,*,*,*,*
2010,17029,17,0,-6,2.806,*,*,*,*,*
2010,17041,17,0,-6,2.806,*,*,*,*,*
2010,17139,17,0,-6,2.806,*,*,*,*,*
2010,17045,17,0,-6,2.806,*,*,*,*,*
2010,17173,17,0,-6,2.806,*,*,*,*,*
